91,South River Lions Club Ladies Aux,,"So. River, NJ"
92,Stafford Township Lions Club,http://www.e-clubhouse.org/sites/staffordtownship/,"Manahawkin, NJ"
93,Summit Lions Club,http://www.summitlionsclub.org/,"Summit, NJ"
94,Tenafly Lions Club,,"Tenafly, NJ"
95,"TerrraCycle, Inc.",http://www.terracycle.com/en-US/,"Trenton, NJ"
96,Toms River Lions Club,http://e-clubhouse.org/sites/tomsrivernj/index.php,"Toms River, NJ"
97,TRUIST,http://truist.com/,"NY, NY"
98,Union Portuguese Lions Club,https://sites.google.com/site/district16e/club-list/union-portuguese,"Union, NJ"
99,Ventnor-Margate Lions,http://e-clubhouse.org/sites/ventnorm/index.php,"Margate, NJ"
100,Waldwick Lions Club,http://e-clubhouse.org/sites/waldwick/index.php,"Waldwick, NJ"
101,Wallington Lions Club,http://e-clubhouse.org/sites/wallington/,"Wallington, NJ"
102,Warren Twp Lions Club Foundation,http://www.warrenlionsclub.org/,"Warren, NJ"
103,Wayne Leos,,"Wayne, NJ"
104,Wayne Township Lions Club,http://www.waynelions.org/,"Wayne, NJ"
105,Welca-Holy Trinity Lutheran Church,http://www.holytrinity-nj.org/,"Rockaway, NJ"
106,West Long Branch Lions Club,http://www.njlions.org/16b/index.html,"W. Long Branch, NJ"
107,West Milford Lions Club,http://www.westmilfordlions.com/,"West Milford, NJ"
108,West New York Leones Cubanos,http://www.e-clubhouse.org/sites/wnyleonescubanos/,"W. New York, NJ"
109,West Orange Lions Club,https://sites.google.com/site/district16e/club-list/west-orange,"West Orange, NJ"
110,West Windsor Township Lions Club,http://e-clubhouse.org/sites/westwindsor/,"West Windsor, NJ"
111,Westfield Lions Club,http://westfieldlions.org/,"Westfield, NJ"
112,Westmont Lions Club Foundation Inc.,http://www.e-clubhouse.org/sites/westmontnj/,"Westmont, NJ"
113,Winslow Twp Lions Club,http://www.winslowlions.org/,"Cedar Brook, NJ"
114,Woman's Club of Denville/Rockaway,http://womansclubofdenvillerockaway.blogspot.com/,"Rockaway, NJ"
115,Wood Ridge Lions Club,http://e-clubhouse.org/sites/woodridge/,"Wood Ridge, NJ"
116,Wyckoff Lions Club,,"Wyckoff, NJ"
